PolicyNumber,ProductCode,Sex,IssueAge,IssueDate, FaceAmount ,AnnualPremium
P100956,WL,F,52,8/5/02," 236,000 ",4248
P100957,TRM10,M,66,2/3/07," 1,123,000 ",14599
P100958,TRM20,M,54,12/11/23," 1,377,000 ",20655
P100959,TRM20,M,40,5/18/21," 982,000 ",9820
P100960,WL,M,66,3/15/07," 1,440,000 ",34560
P100961,WL,M,74,3/19/08," 1,770,000 ",35400
P100962,TRM10,F,73,4/21/22," 886,000 ",9746
P100963,TRM30,F,74,1/13/22," 78,000 ",936
P100964,TRM20,F,23,7/26/06," 698,000 ",5584
P100965,WL,M,49,2/4/18," 729,000 ",13122
P100966,TRM20,F,65,11/7/08," 637,000 ",4459
P100967,TRM10,F,36,5/8/96," 1,776,000 ",39072
P100968,UL,F,36,10/23/96," 977,000 ",4885
P100969,TRM30,F,49,12/16/96," 1,589,000 ",25424
P100970,TRM30,F,69,9/22/97," 50,000 ",550
P100971,TRM20,F,32,7/10/06," 237,000 ",2370
P100972,UL,F,35,10/17/23," 1,175,000 ",22325
P100973,TRM20,F,75,8/13/10," 591,000 ",11820
P100974,TRM30,F,70,8/12/23," 57,000 ",627
P100975,UL,F,48,9/1/13," 561,000 ",2805
P100976,TRM20,F,150,7/8/95," 1,153,000 ",27672
P100977,TRM10,F,22,6/14/05," 1,263,000 ",25260
P100978,WL,M,55,11/2/07," 343,000 ",5831
P100979,TRM30,M,39,7/27/18," 174,000 ",870
P100980,TRM10,M,43,9/27/12," 927,000 ",6489
P100981,UL,F,72,6/18/08," 1,880,000 ",35720
P100982,TRM20,F,51,8/9/13," 675,000 ",16875
P100983,TRM20,F,47,11/11/98," 821,000 ",4926
P100984,TRM30,M,73,12/10/14," 1,374,000 ",21984
P100985,TRM30,F,31,4/9/07," 918,000 ",19278
P100986,UL,F,39,3/3/00," 119,000 ",2023
P100987,WL,M,55,4/3/13," 220,000 ",1760
P100988,TRM30,F,37,6/22/04," 807,000 ",3228
P100989,TRM10,M,44,1/27/99," 633,000 ",4431
P100990,,M,51,12/25/24," 1,417,000 ",15587
P100991,TRM10,M,44,10/2/11," 571,000 ",3997
P100992,TRM10,M,63,1/9/05," 1,095,000 ",25185
P100993,TRM10,F,56,6/19/17," 376,000 ",3384
P100994,UL,F,35,7/7/07," 276,000 ",1932
P100995,UL,M,21,1/3/20," 173,000 ",3806
P100996,UL,M,51,11/18/99," 667,000 ",8671
P100997,UL,M,18,10/26/11," 1,454,000 ",30534
P100998,TRM10,M,63,4/20/07," 1,506,000 ",31626
P100999,TRM10,F,43,1/3/02," 125,000 ",750
P101000,TRM30,M,45,12/23/07," 1,793,000 ",17930
